File,Task,Category
g2pA_taskd.txt,d,cut
g7pG_taskd.txt,d,heavy
g6pC_taskc.txt,c,heavy
g2pF_taskd.txt,d,non
g9pJ_taskd.txt,d,heavy
g8pD_taskb.txt,b,non
g8pG_taskc.txt,c,non
g7pJ_taskb.txt,b,non
g5pH_taskd.txt,d,cut
g7pJ_taska.txt,a,light
g1pG_taska.txt,a,non
g6pC_taskd.txt,d,cut
g2pA_taska.txt,a,cut
g5pA_taskd.txt,d,non
g8pD_taske.txt,e,heavy
g7pH_taskc.txt,c,heavy
g4pD_taskc.txt,c,non
g4pA_taskb.txt,b,cut
g7pF_taska.txt,a,non
g0pI_taske.txt,e,non
g7pD_taska.txt,a,non
g2pB_taska.txt,a,non
g5pE_taskc.txt,c,cut
g4pI_taska.txt,a,light
g4pJ_taskd.txt,d,non
g0pH_taske.txt,e,non
g4pG_taskc.txt,c,light
g1pC_taskd.txt,d,non
g4pF_taskd.txt,d,heavy
g4pI_taskd.txt,d,non
g7pI_taskc.txt,c,cut
g3pI_taska.txt,a,cut
g8pD_taskb.txt,b,cut
g3pA_taske.txt,e,non
g3pE_taskd.txt,d,non
g1pI_taskd.txt,d,light
g1pJ_taskc.txt,c,light
g8pF_taskc.txt,c,non
g4pA_taska.txt,a,cut
g2pB_taskb.txt,b,non
g1pB_taskd.txt,d,non
g7pD_taskd.txt,d,heavy
g4pJ_taskd.txt,d,non
g2pA_taskd.txt,d,light
g8pC_taskd.txt,d,non
g1pI_taskc.txt,c,non
g8pA_taskc.txt,c,non
g6pB_taska.txt,a,cut
g5pI_taske.txt,e,heavy
g6pH_taske.txt,e,heavy
g4pJ_taska.txt,a,non
g8pC_taske.txt,e,non
g4pI_taska.txt,a,cut
g2pJ_taskb.txt,b,non
g4pE_taskd.txt,d,non
g4pE_taskd.txt,d,heavy
g3pB_taskc.txt,c,light
g3pD_taskb.txt,b,non
g4pD_taskc.txt,c,light
g1pF_taska.txt,a,non
g5pJ_taskc.txt,c,non
g8pI_taske.txt,e,non
g8pJ_taska.txt,a,cut
g8pG_taske.txt,e,non
g4pH_taskd.txt,d,heavy
g2pE_taska.txt,a,non
g2pI_taskd.txt,d,light
g2pD_taskb.txt,b,cut
g0pE_taskb.txt,b,light
g3pJ_taskb.txt,b,non
g2pJ_taska.txt,a,non
g7pC_taske.txt,e,light
g2pH_taskd.txt,d,non
g0pD_taska.txt,a,non
g0pJ_taska.txt,a,non
g5pE_taske.txt,e,non
g2pJ_taskd.txt,d,heavy
g2pI_taskd.txt,d,light
g4pA_taskc.txt,c,cut
g7pE_taska.txt,a,non
g8pI_taske.txt,e,cut
g4pE_taskb.txt,b,light
g6pB_taskb.txt,b,light
g5pJ_taskd.txt,d,non
g6pE_taskd.txt,d,light
g6pE_taskc.txt,c,light
g2pA_taskb.txt,b,heavy
g9pJ_taskb.txt,b,light
g3pF_taskb.txt,b,non
g3pB_taskb.txt,b,light
g0pH_taskd.txt,d,light
g2pA_taskc.txt,c,non
g1pH_taska.txt,a,cut
g8pE_taskb.txt,b,light
g4pE_taskc.txt,c,non
g5pD_taska.txt,a,heavy
g0pB_taskd.txt,d,non
g6pI_taskc.txt,c,light
g9pA_taske.txt,e,non
g5pI_taskb.txt,b,light
g5pB_taskd.txt,d,heavy
g3pF_taska.txt,a,cut
g1pE_taskb.txt,b,non
g4pF_taska.txt,a,non
g1pG_taska.txt,a,non
g3pF_taska.txt,a,non
g3pF_taske.txt,e,non
g2pD_taskd.txt,d,heavy
g8pG_taske.txt,e,non
g4pE_taskc.txt,c,heavy
g5pI_taska.txt,a,heavy
g0pH_taskd.txt,d,non
g9pI_taskc.txt,c,heavy
g9pJ_taskc.txt,c,non
g2pH_taska.txt,a,non
g9pE_taske.txt,e,light
g8pG_taskc.txt,c,non
g0pI_taska.txt,a,non
g6pA_taske.txt,e,light
g9pD_taske.txt,e,non
g2pD_taskb.txt,b,non
g3pE_taskc.txt,c,non
g9pH_taske.txt,e,non
g0pC_taske.txt,e,non
g8pA_taskc.txt,c,cut
g3pJ_taskc.txt,c,heavy
g1pE_taskc.txt,c,cut
g8pE_taskb.txt,b,cut
g2pC_taskb.txt,b,cut
g2pD_taske.txt,e,heavy
g3pH_taske.txt,e,non
g9pF_taska.txt,a,non
g1pG_taska.txt,a,non
g7pI_taskc.txt,c,non
g7pJ_taskc.txt,c,cut
g5pD_taskc.txt,c,light
g6pH_taskb.txt,b,cut
g3pE_taskb.txt,b,light
g3pF_taskb.txt,b,light
g9pA_taske.txt,e,non
g9pC_taska.txt,a,non
g5pH_taskc.txt,c,light
g6pG_taske.txt,e,non
g6pB_taskd.txt,d,cut
g3pA_taska.txt,a,non
g7pI_taskb.txt,b,heavy
g9pF_taska.txt,a,light
g4pG_taskc.txt,c,non
g0pD_taska.txt,a,non
g9pI_taskb.txt,b,non
g9pC_taskb.txt,b,non
g7pC_taskd.txt,d,heavy
g5pB_taskc.txt,c,light
g0pH_taske.txt,e,cut
g5pA_taskc.txt,c,light
g4pD_taskb.txt,b,non
g9pC_taskb.txt,b,non
g5pE_taske.txt,e,non
g5pE_taskc.txt,c,cut
g5pI_taskc.txt,c,non
g7pC_taske.txt,e,light
g8pB_taskb.txt,b,light
g9pD_taskc.txt,c,heavy
g8pF_taskd.txt,d,non
g8pD_taskb.txt,b,light
g0pC_taske.txt,e,light
g6pC_taska.txt,a,light
g3pE_taskb.txt,b,non
g2pJ_taskb.txt,b,cut
g2pD_taskc.txt,c,light
g6pI_taske.txt,e,non
g8pC_taskd.txt,d,heavy
g6pC_taskd.txt,d,light
g3pE_taskc.txt,c,cut
g3pF_taskc.txt,c,non
g5pB_taske.txt,e,non
g2pG_taskd.txt,d,heavy
g5pI_taska.txt,a,light
g5pB_taska.txt,a,cut
g1pB_taske.txt,e,light
g3pF_taska.txt,a,non
g9pA_taskd.txt,d,non
g6pG_taska.txt,a,cut
g2pH_taskc.txt,c,non
g4pE_taskd.txt,d,heavy
g7pJ_taske.txt,e,non
g7pJ_taskc.txt,c,light
g1pG_taske.txt,e,heavy
g7pD_taskd.txt,d,non
g8pE_taskd.txt,d,cut
g1pD_taskd.txt,d,cut
g0pH_taskb.txt,b,non
g0pE_taskb.txt,b,cut
g5pC_taske.txt,e,cut
g4pC_taskb.txt,b,light
g8pI_taske.txt,e,light
g9pB_taske.txt,e,cut
g9pJ_taskb.txt,b,light
g7pF_taske.txt,e,non
g1pE_taskc.txt,c,light
g6pB_taske.txt,e,non
g6pG_taskd.txt,d,non
g1pG_taska.txt,a,non
g6pC_taskb.txt,b,non
g8pA_taska.txt,a,non
g4pI_taskb.txt,b,non
g8pB_taske.txt,e,non
g4pE_taska.txt,a,non
g1pE_taskb.txt,b,cut
g0pD_taskb.txt,b,cut
g5pJ_taskd.txt,d,heavy
g8pH_taske.txt,e,non
g3pI_taskd.txt,d,cut
g8pG_taske.txt,e,non
g1pA_taskb.txt,b,non
